meal,food,grams
Breakfast,Eggs,120
Breakfast,Whole wheat bread,80
Breakfast,Avocado,70
Breakfast,Spinach (cooked),60
Snack AM,Greek yogurt,200
Snack AM,Pumpkin seeds,20
Snack AM,Banana,100
Lunch,Lentils (cooked),200
Lunch,Buckwheat groats (cooked),150
Lunch,Sweet potato (baked),150
Lunch,Tahini,20
Lunch,Broccoli (cooked),100
Snack PM,Hummus,80
Snack PM,Whole wheat bread,50
Snack PM,Almonds,25
Dinner,Tempeh,150
Dinner,Pasta (whole wheat cooked),180
Dinner,Broccoli (cooked),100
Dinner,Sunflower seeds,15
Dinner,Nutritional yeast,10
Recovery,Cottage cheese,150
Recovery,Hemp seeds,15
Recovery,Flaxseed,10
