meal,food,grams
Breakfast,Oats (dry),100
Breakfast,Soy milk (unsweetened),300
Breakfast,Banana,120
Breakfast,Hemp seeds,20
Breakfast,Peanut butter,25
Snack AM,Whole wheat bread,80
Snack AM,Hummus,60
Snack AM,Avocado,50
Lunch,Lentils (cooked),200
Lunch,Pasta (whole wheat cooked),200
Lunch,Sweet potato (baked),150
Lunch,Broccoli (cooked),100
Lunch,Tahini,20
Snack PM,Banana,120
Snack PM,Almonds,30
Snack PM,Dates (dried),40
Dinner,Tofu (firm),150
Dinner,Quinoa (cooked),200
Dinner,Edamame,100
Dinner,Spinach (cooked),100
Dinner,Sunflower seeds,15
Recovery,Greek yogurt,200
Recovery,Hemp seeds,15
Recovery,Flaxseed,10
